episode,total_reward,total_return,final_portfolio_value,n_trades,sharpe_ratio,win_rate,epsilon,avg_loss
1,32.329907,0.018086,1.02,798,0.0415,0.5138,0.948337,1.560544
2,271.278239,0.297201,1.3,829,0.3973,0.5332,0.899346,1.085272
3,172.191365,0.172416,1.17,805,0.2315,0.5168,0.852888,1.008548
4,52.12255,0.039579,1.04,815,0.0696,0.5276,0.808833,0.977971
5,180.094127,0.182169,1.18,841,0.2458,0.5279,0.767056,0.962176
6,239.762226,0.25555,1.26,854,0.3346,0.5679,0.727439,0.949147
7,260.557943,0.28237,1.28,864,0.3687,0.5451,0.689872,0.950652
8,207.699017,0.216347,1.22,862,0.2942,0.5464,0.654247,0.938681
9,272.967739,0.296905,1.3,860,0.369,0.5674,0.620464,0.928516
10,279.363269,0.306613,1.31,878,0.3942,0.5911,0.588429,0.916085
11,377.082427,0.442574,1.44,871,0.5631,0.5901,0.55805,0.91766
12,552.169498,0.721835,1.72,893,0.9086,0.5801,0.529242,0.896579
13,348.158086,0.399174,1.4,888,0.4843,0.5721,0.501924,0.881967
14,444.912243,0.541921,1.54,883,0.6292,0.5889,0.476019,0.890337
15,558.239119,0.731251,1.73,882,0.8881,0.6054,0.451453,0.875363
16,463.225883,0.572318,1.57,875,0.6911,0.6091,0.428158,0.877847
17,548.199206,0.713782,1.71,886,0.8674,0.6253,0.406068,0.856011
18,557.028655,0.728765,1.73,890,0.8758,0.6281,0.38512,0.856102
19,644.143491,0.886908,1.89,884,1.0359,0.6086,0.365255,0.833861
20,592.725861,0.793045,1.79,897,0.9742,0.621,0.346418,0.826395
21,587.177198,0.782047,1.78,892,0.9334,0.6424,0.328555,0.813824
22,531.086577,0.685202,1.69,907,0.8539,0.6174,0.311615,0.806906
23,614.5806,0.833154,1.83,911,1.0259,0.6367,0.295552,0.783003
24,610.81158,0.825157,1.83,903,0.9859,0.6589,0.280319,0.773151
25,559.071925,0.732303,1.73,912,0.8795,0.636,0.265874,0.77181
26,719.950287,1.039039,2.04,886,1.2862,0.649,0.252176,0.752826
27,699.217441,0.996073,2.0,904,1.2046,0.6416,0.239187,0.73765
28,679.618268,0.957571,1.96,915,1.1796,0.6404,0.226869,0.727556
29,707.38768,1.013536,2.01,882,1.2622,0.6531,0.215188,0.714835
30,653.899638,0.906875,1.91,903,1.099,0.6545,0.204111,0.695268
31,679.552923,0.956675,1.96,891,1.1512,0.6611,0.193608,0.694054
32,669.869179,0.938051,1.94,916,1.1432,0.6736,0.183647,0.68828
33,725.279622,1.049572,2.05,908,1.2811,0.6762,0.174201,0.671482
34,645.179532,0.890451,1.89,919,1.0889,0.667,0.165244,0.672709
35,697.642114,0.992667,1.99,903,1.192,0.6689,0.15675,0.664379
36,717.73362,1.033543,2.03,875,1.2428,0.6823,0.148696,0.657094
