Metric,DRL_Agent,Mean_Reversion
Total Return,0.06403438498062486,0.0400836203037509
Sharpe Ratio,0.6244959840974067,1.3637859404250365
Sortino Ratio,0.9478084248930415,0.9586079415983373
Max Drawdown,0.023071210191533745,0.0047797672782533464
N. Trades,236.0,92.0
Win Rate,0.5635593220338984,0.6521739130434783
Final Balance,1.0640343849806249,1.040083620303751
