,feature,importance
5,half_life_proxy,0.21661252293693262
4,shock_lag1,0.1809056083926054
0,shock,0.16022524088329174
1,deviation_from_mean,0.15375610887176244
3,shock_x_volume,0.14780125132796307
2,zscore_crack,0.14069926758744483
