Metric,DRL_Agent,Mean_Reversion,Buy_Hold
Total Return,0.0012004849999998988,-0.0007641449999999895,0.051348296463750887
Sharpe Ratio,8.685817311097276,-5.194502624541111,1.504431388036653
Sortino Ratio,39.62942176538233,-8.29454915145167,14.363546123250682
Max Drawdown,0.00011542703486918973,0.0007889963768712304,0.055021283304424524
N. Trades,25.0,8.0,1.0
Win Rate,0.88,0.0,1.0
Final Balance,100120.04849999999,99923.5855,105134.82964637509
