episode,total_reward,total_return,final_portfolio_value,n_trades,sharpe_ratio,win_rate,epsilon,avg_loss
1,-24.17262,-0.041724,0.96,810,-0.0274,0.4877,0.948337,1.746404
2,-14.287742,-0.027805,0.97,810,-0.0187,0.4951,0.899346,1.225498
3,187.151038,0.188757,1.19,822,0.2415,0.5292,0.852888,1.131418
4,177.12772,0.177742,1.18,815,0.2346,0.5399,0.808833,1.079104
5,151.307811,0.147921,1.15,822,0.2017,0.5085,0.767056,1.043926
6,252.118365,0.270975,1.27,860,0.3498,0.5744,0.727439,1.026443
7,183.063316,0.185698,1.19,858,0.25,0.5117,0.689872,1.003151
8,247.287212,0.265184,1.27,851,0.3468,0.5593,0.654247,0.988561
9,182.070391,0.182402,1.18,869,0.2327,0.5754,0.620464,0.985693
10,375.091235,0.442122,1.44,873,0.6102,0.5647,0.588429,0.979484
11,219.199005,0.229382,1.23,875,0.2999,0.552,0.55805,0.960061
12,357.506835,0.411639,1.41,876,0.4876,0.5674,0.529242,0.957838
13,373.283755,0.437818,1.44,874,0.5708,0.5675,0.501924,0.933897
14,422.760748,0.510486,1.51,871,0.641,0.5959,0.476019,0.932434
15,521.552369,0.667675,1.67,852,0.7992,0.6115,0.451453,0.918121
16,401.772393,0.477752,1.48,892,0.5837,0.574,0.428158,0.907905
17,392.06875,0.465355,1.47,880,0.605,0.5898,0.406068,0.89961
18,472.799378,0.587373,1.59,892,0.704,0.6211,0.38512,0.893629
19,460.699681,0.569962,1.57,892,0.7232,0.6222,0.365255,0.874692
20,492.762428,0.619912,1.62,892,0.7452,0.6054,0.346418,0.86119
21,646.759465,0.894223,1.89,893,1.1196,0.6484,0.328555,0.85394
22,421.037306,0.508408,1.51,880,0.6497,0.6148,0.311615,0.834167
23,548.886411,0.715594,1.72,878,0.886,0.6298,0.295552,0.815919
24,561.163973,0.738406,1.74,916,0.9565,0.6179,0.280319,0.813142
25,561.906075,0.738248,1.74,882,0.9121,0.6224,0.265874,0.798086
26,600.6795,0.807193,1.81,906,0.982,0.6391,0.252176,0.780278
27,536.417137,0.694642,1.69,895,0.8749,0.6246,0.239187,0.766764
28,711.40251,1.01972,2.02,909,1.1953,0.6733,0.226869,0.76276
29,621.369895,0.846603,1.85,896,1.0706,0.6362,0.215188,0.752609
30,572.733471,0.757562,1.76,866,0.9416,0.6224,0.204111,0.737275
31,602.471812,0.811247,1.81,900,1.0108,0.6444,0.193608,0.726183
32,617.880177,0.838436,1.84,884,1.0068,0.6516,0.183647,0.721437
33,717.640236,1.033433,2.03,897,1.2458,0.6611,0.174201,0.716256
34,577.786615,0.766767,1.77,884,0.9592,0.6414,0.165244,0.708141
35,572.057315,0.756529,1.76,901,0.945,0.6315,0.15675,0.699664
36,631.355762,0.862641,1.86,895,1.0068,0.6615,0.148696,0.700216
37,628.403074,0.856587,1.86,893,0.9863,0.6674,0.141058,0.704706
38,733.262458,1.064921,2.06,921,1.2532,0.6764,0.133815,0.690865
39,766.919121,1.135513,2.14,906,1.3073,0.6744,0.126946,0.682
40,659.069596,0.918176,1.92,847,1.1599,0.647,0.120433,0.677093
41,665.347391,0.927296,1.93,898,1.0691,0.6648,0.114256,0.683275
42,654.560523,0.909095,1.91,908,1.1345,0.6806,0.108399,0.673869
43,734.373709,1.06856,2.07,911,1.3081,0.6553,0.102845,0.672701
44,699.483345,0.996683,2.0,904,1.2079,0.6571,0.097578,0.664944
45,709.139663,1.01576,2.02,894,1.2134,0.6678,0.092584,0.660053
46,691.981296,0.982649,1.98,899,1.23,0.6663,0.087848,0.657958
47,647.307353,0.892663,1.89,915,1.0347,0.6743,0.083356,0.659651
48,698.958266,0.995361,2.0,905,1.1966,0.6608,0.079097,0.664373
49,722.694641,1.043296,2.04,917,1.2376,0.6685,0.075058,0.648953
50,713.541019,1.023906,2.02,896,1.1944,0.6708,0.071229,0.650122
51,755.845555,1.11306,2.11,855,1.3298,0.6807,0.067597,0.642122
52,741.321015,1.081583,2.08,902,1.2649,0.6829,0.064153,0.662517
53,791.268664,1.189699,2.19,928,1.4117,0.6703,0.060887,0.649453
54,750.003413,1.100064,2.1,902,1.2923,0.6785,0.05779,0.641369
55,721.553533,1.041844,2.04,894,1.2699,0.6577,0.054853,0.637691
56,774.096422,1.152306,2.15,931,1.376,0.6853,0.052068,0.634746
57,749.880466,1.100063,2.1,901,1.3021,0.6748,0.049427,0.631431
58,752.212283,1.106095,2.11,876,1.3531,0.6747,0.046922,0.623656
59,699.826036,0.997553,2.0,899,1.2157,0.6796,0.044548,0.631291
60,676.400648,0.950352,1.95,875,1.1399,0.6651,0.042296,0.628282
61,684.27244,0.965812,1.97,878,1.1549,0.6674,0.04016,0.640224
62,678.327797,0.954088,1.95,886,1.1421,0.6682,0.038135,0.631407
63,770.274895,1.144187,2.14,889,1.3728,0.685,0.036214,0.630402
64,738.283891,1.076832,2.08,909,1.3222,0.6733,0.034393,0.624824
65,810.339808,1.232135,2.23,904,1.4582,0.698,0.032666,0.62389
66,685.975887,0.969859,1.97,888,1.183,0.6757,0.031029,0.627636
67,675.652412,0.948166,1.95,871,1.114,0.6693,0.029476,0.622811
68,736.862551,1.073187,2.07,885,1.2908,0.687,0.028003,0.621173
