episode,total_reward,total_return,final_portfolio_value,n_trades,sharpe_ratio,win_rate,epsilon,avg_loss
1,-128.200252,-0.134264,0.87,810,-0.1563,0.5074,0.948337,1.59383
2,-83.826367,-0.094585,0.91,821,-0.1036,0.4994,0.899346,1.199719
3,208.9792,0.216859,1.22,826,0.2855,0.5061,0.852888,1.104714
4,230.226452,0.240684,1.24,835,0.294,0.5689,0.808833,1.083981
5,205.511968,0.213716,1.21,871,0.2912,0.5511,0.767056,1.043479
6,349.942523,0.403347,1.4,852,0.5123,0.5775,0.727439,1.013479
7,298.995237,0.334121,1.33,861,0.4449,0.5552,0.689872,0.979952
8,421.716289,0.507035,1.51,873,0.6042,0.5979,0.654247,0.963698
9,370.821086,0.432599,1.43,891,0.5369,0.5701,0.620464,0.941787
10,195.41692,0.199173,1.2,891,0.2565,0.5802,0.588429,0.937448
11,355.128997,0.412793,1.41,900,0.5597,0.5689,0.55805,0.914711
12,370.906055,0.434611,1.43,880,0.5714,0.5648,0.529242,0.928109
13,410.862382,0.494417,1.49,905,0.6631,0.5901,0.501924,0.891752
14,554.06077,0.725899,1.73,932,0.9373,0.6202,0.476019,0.892965
15,410.491486,0.49267,1.49,933,0.6352,0.612,0.451453,0.877648
16,584.84659,0.779903,1.78,930,0.9912,0.6301,0.428158,0.855973
17,530.684985,0.686869,1.69,939,0.9261,0.5985,0.406068,0.847158
18,467.474532,0.579729,1.58,945,0.7128,0.6011,0.38512,0.832241
19,459.053345,0.567588,1.57,948,0.7257,0.6171,0.365255,0.845877
20,464.745244,0.57542,1.58,953,0.7086,0.6086,0.346418,0.814263
21,582.921929,0.776617,1.78,957,0.9929,0.6144,0.328555,0.793861
22,584.171508,0.778686,1.78,961,0.9895,0.6119,0.311615,0.762052
23,507.063968,0.645153,1.65,942,0.8135,0.6093,0.295552,0.756718
24,549.042974,0.716508,1.72,954,0.9051,0.6237,0.280319,0.744061
25,559.584744,0.735333,1.74,978,0.9428,0.6196,0.265874,0.722111
26,587.190453,0.784161,1.78,948,0.9982,0.6234,0.252176,0.71494
27,578.654313,0.768676,1.77,942,0.9728,0.6221,0.239187,0.716284
28,570.991241,0.754101,1.75,922,0.9266,0.6377,0.226869,0.715171
29,742.77154,1.086305,2.09,915,1.3365,0.6503,0.215188,0.683595
30,616.158341,0.835643,1.84,931,1.0156,0.6541,0.204111,0.689143
31,615.264796,0.834779,1.83,923,1.0395,0.6371,0.193608,0.68157
32,663.447843,0.92601,1.93,911,1.1453,0.663,0.183647,0.669106
33,627.67146,0.857334,1.86,937,1.0487,0.6489,0.174201,0.6607
34,707.187724,1.013163,2.01,934,1.2628,0.6456,0.165244,0.653804
35,619.80739,0.842896,1.84,917,1.0392,0.6423,0.15675,0.6551
36,685.493363,0.968883,1.97,894,1.1813,0.6398,0.148696,0.671305
37,689.768104,0.977751,1.98,900,1.2054,0.67,0.141058,0.658746
