Metric,DRL_Agent,Mean_Reversion
Total Return,0.04144685855135388,0.02522903604325788
Sharpe Ratio,0.37202636701352243,0.6223875697109345
Sortino Ratio,0.40393468875475397,0.2656623883507474
Max Drawdown,0.07831864461278659,0.024156846412694954
N. Trades,141.0,54.0
Win Rate,0.574468085106383,0.6666666666666666
Final Balance,1.0414468585513539,1.0252290360432579
