,feature,importance
1,deviation_from_mean,0.1894202655260588
5,half_life_proxy,0.17395243341346517
4,shock_lag1,0.1659187930352519
2,zscore_crack,0.16490002627219544
3,shock_x_volume,0.1578562415554359
0,shock,0.1479522401975928
