episode,total_reward,total_return,final_portfolio_value,n_trades,sharpe_ratio,win_rate,epsilon,avg_loss
1,-94.490852,-0.103473,0.9,766,-0.1256,0.4739,0.952771,1.712277
2,188.13984,0.193804,1.19,771,0.2895,0.5422,0.907775,1.17519
3,91.891863,0.084406,1.08,759,0.1422,0.4993,0.864907,1.045309
4,256.660481,0.279815,1.28,757,0.4152,0.5456,0.824065,0.990628
5,334.732161,0.386099,1.39,786,0.5951,0.5534,0.785153,0.939361
6,335.271358,0.385107,1.39,784,0.555,0.5395,0.748082,0.834049
7,357.418888,0.417094,1.42,763,0.6145,0.5583,0.712763,0.793927
8,323.459157,0.368404,1.37,776,0.5267,0.5554,0.679114,0.782202
9,371.113211,0.437233,1.44,778,0.6538,0.5501,0.647055,0.770384
10,388.363999,0.461569,1.46,792,0.6662,0.5896,0.616512,0.75561
11,465.959278,0.579511,1.58,767,0.7998,0.5932,0.587413,0.743521
12,356.813388,0.415558,1.42,780,0.5973,0.5667,0.55969,0.74117
13,515.085555,0.661066,1.66,804,0.9528,0.5983,0.533277,0.727989
14,452.650464,0.557804,1.56,802,0.7546,0.601,0.508113,0.724767
15,509.183701,0.650342,1.65,805,0.9081,0.6099,0.484139,0.707661
16,590.557863,0.789756,1.79,813,1.036,0.6347,0.461298,0.710479
17,494.977163,0.626273,1.63,819,0.8574,0.6044,0.439537,0.70568
18,551.249086,0.720374,1.72,842,0.9541,0.6295,0.418805,0.69576
19,601.596037,0.810893,1.81,852,1.1023,0.6256,0.399053,0.699716
20,504.81,0.642779,1.64,821,0.8882,0.6005,0.380235,0.691988
21,572.273116,0.75767,1.76,840,1.016,0.6262,0.362306,0.688429
22,575.957845,0.765397,1.77,855,1.0689,0.6281,0.345225,0.67473
23,529.399624,0.684742,1.68,847,0.9691,0.6151,0.328951,0.657831
24,586.530584,0.78281,1.78,854,1.0375,0.6358,0.313447,0.645793
25,539.413481,0.700198,1.7,856,0.936,0.632,0.298676,0.647251
26,639.854361,0.882687,1.88,861,1.223,0.6423,0.284603,0.634124
27,564.344984,0.743579,1.74,841,0.9943,0.6136,0.271195,0.638493
28,633.366896,0.868978,1.87,857,1.1465,0.6429,0.258421,0.631382
29,582.991944,0.776703,1.78,834,1.0382,0.6259,0.246252,0.623503
30,593.573532,0.794778,1.79,818,1.0287,0.6455,0.234657,0.623969
31,694.924466,0.990245,1.99,849,1.377,0.6419,0.223611,0.615193
32,654.313648,0.909803,1.91,840,1.2377,0.6512,0.213087,0.611863
33,673.887877,0.946742,1.95,816,1.2393,0.6507,0.20306,0.614774
34,649.978556,0.900613,1.9,854,1.1895,0.6358,0.193507,0.601786
35,722.646204,1.045517,2.05,857,1.3983,0.6639,0.184406,0.606783
36,658.547725,0.917527,1.92,837,1.229,0.6679,0.175736,0.590442
37,700.244592,0.999949,2.0,813,1.342,0.6581,0.167475,0.58982
38,724.820497,1.048734,2.05,825,1.3453,0.6703,0.159605,0.585517
39,667.315266,0.934283,1.93,815,1.2395,0.6712,0.152106,0.58624
40,711.873064,1.023031,2.02,831,1.3499,0.6558,0.144963,0.59515
41,672.294149,0.944124,1.94,838,1.2568,0.6611,0.138157,0.578233
42,733.501517,1.067531,2.07,857,1.404,0.6604,0.131673,0.567651
43,777.573759,1.161176,2.16,842,1.5132,0.6698,0.125495,0.575979
44,703.429556,1.005959,2.01,839,1.3314,0.6782,0.119609,0.559649
45,707.856978,1.014835,2.01,821,1.3386,0.6979,0.114002,0.552552
46,737.240893,1.075775,2.08,840,1.4362,0.694,0.10866,0.558896
47,705.039254,1.007717,2.01,814,1.272,0.6708,0.10357,0.554597
48,680.315545,0.960376,1.96,821,1.2987,0.6663,0.098721,0.552225
49,721.299356,1.042664,2.04,821,1.391,0.6943,0.094101,0.536529
50,699.201827,0.996901,2.0,829,1.2972,0.6755,0.0897,0.539408
51,730.75814,1.061757,2.06,809,1.3937,0.6774,0.085506,0.529246
52,723.812321,1.046814,2.05,805,1.3498,0.6708,0.081511,0.535675
53,721.342443,1.042211,2.04,817,1.3652,0.6707,0.077705,0.53022
54,766.446927,1.136808,2.14,833,1.469,0.6963,0.074079,0.532473
