episode,total_reward,total_return,final_portfolio_value,n_trades,sharpe_ratio,win_rate,epsilon,avg_loss
1,23.599082,0.007354,1.01,834,0.0285,0.5036,0.948337,1.577555
2,187.985744,0.190153,1.19,840,0.2456,0.525,0.899346,1.14906
3,-79.73811,-0.093623,0.91,862,-0.0902,0.507,0.852888,1.114146
4,105.761711,0.096932,1.1,854,0.1416,0.5246,0.808833,1.111966
5,142.928905,0.138642,1.14,863,0.1924,0.5423,0.767056,1.073405
6,296.578501,0.331338,1.33,865,0.4483,0.5595,0.727439,1.037438
7,247.625397,0.264815,1.26,869,0.3387,0.5719,0.689872,1.00289
8,-18.765384,-0.03357,0.97,904,-0.0233,0.5232,0.654247,1.000624
9,419.515389,0.50587,1.51,903,0.642,0.5836,0.620464,0.975131
10,489.618858,0.6151,1.62,918,0.7464,0.6013,0.588429,0.962653
11,317.895812,0.359211,1.36,885,0.4674,0.5661,0.55805,0.941561
12,554.905073,0.726103,1.73,937,0.9004,0.5891,0.529242,0.923738
13,417.769779,0.502847,1.5,915,0.6311,0.5913,0.501924,0.912929
14,523.618664,0.672281,1.67,924,0.8316,0.6104,0.476019,0.897988
15,544.657112,0.708497,1.71,943,0.8832,0.6151,0.451453,0.880896
16,436.742989,0.532789,1.53,938,0.6852,0.6109,0.428158,0.879319
17,635.02408,0.871627,1.87,950,1.0811,0.6432,0.406068,0.854692
18,562.623323,0.739804,1.74,939,0.9222,0.6166,0.38512,0.856794
19,624.739558,0.851758,1.85,946,1.0393,0.6459,0.365255,0.832345
20,522.237203,0.669853,1.67,940,0.826,0.6021,0.346418,0.816993
21,620.928502,0.844406,1.84,911,1.0229,0.6356,0.328555,0.799116
22,604.023391,0.814263,1.81,924,1.0204,0.6255,0.311615,0.780159
23,631.033833,0.862879,1.86,938,1.0316,0.6194,0.295552,0.771696
24,626.340097,0.854829,1.85,949,1.0453,0.6428,0.280319,0.743612
25,598.853513,0.805203,1.81,959,1.022,0.6361,0.265874,0.734207
26,725.758712,1.050019,2.05,968,1.2605,0.6384,0.252176,0.716899
27,593.762188,0.79519,1.8,958,0.9848,0.6211,0.239187,0.706684
28,663.120559,0.924894,1.92,961,1.1274,0.6472,0.226869,0.694641
29,661.571795,0.923199,1.92,965,1.1734,0.6404,0.215188,0.688424
30,675.1535,0.949043,1.95,964,1.1789,0.6286,0.204111,0.685672
31,684.842354,0.966708,1.97,957,1.1478,0.6489,0.193608,0.679498
32,651.672132,0.902589,1.9,956,1.0937,0.6538,0.183647,0.66776
33,639.432433,0.880718,1.88,939,1.1192,0.64,0.174201,0.659102
34,669.292923,0.937391,1.94,946,1.1588,0.629,0.165244,0.65385
35,760.213882,1.1232,2.12,944,1.3758,0.6377,0.15675,0.66022
36,697.382488,0.992456,1.99,952,1.2028,0.6471,0.148696,0.650031
37,708.49712,1.014132,2.01,942,1.2001,0.6582,0.141058,0.648385
38,740.360539,1.08135,2.08,950,1.3346,0.6653,0.133815,0.638461
39,771.259432,1.148369,2.15,966,1.4735,0.6615,0.126946,0.629675
