episode,total_reward,total_return,final_portfolio_value,n_trades,sharpe_ratio,win_rate,epsilon,avg_loss
1,-72.42229,-0.081733,0.92,506,-0.125,0.5,0.96761,1.99607
2,11.724886,-0.000489,1.0,499,0.0207,0.493,0.93627,1.459338
3,46.081119,0.036551,1.04,508,0.0893,0.5039,0.905946,1.324389
4,55.189369,0.046681,1.05,527,0.1103,0.5066,0.876605,1.270675
5,-4.8926,-0.016566,0.98,547,-0.0088,0.5119,0.848215,1.231105
6,94.256931,0.087668,1.09,529,0.1823,0.5255,0.820746,1.230924
7,177.776757,0.182982,1.18,536,0.3523,0.5634,0.794168,1.204379
8,107.811674,0.103512,1.1,522,0.2184,0.5249,0.768451,1.187217
9,204.249855,0.214013,1.21,534,0.3934,0.5843,0.743568,1.176966
10,301.247547,0.340882,1.34,540,0.6621,0.5815,0.719492,1.162223
11,270.148399,0.298382,1.3,542,0.556,0.5627,0.696197,1.123709
12,236.170542,0.254404,1.25,560,0.4735,0.5464,0.673656,1.126312
13,292.694895,0.328663,1.33,551,0.6205,0.5917,0.651847,1.103132
14,329.850703,0.379874,1.38,557,0.7281,0.5709,0.630745,1.09409
15,308.963063,0.350872,1.35,569,0.6671,0.5677,0.610327,1.097436
16,336.307583,0.389161,1.39,565,0.7545,0.5894,0.590571,1.076846
17,258.614419,0.283896,1.28,559,0.5417,0.5886,0.571455,1.055373
18,201.679541,0.21119,1.21,567,0.3929,0.5644,0.55296,1.060649
19,306.48647,0.346753,1.35,556,0.6395,0.5576,0.535064,1.050895
20,440.605679,0.541389,1.54,558,0.9694,0.6147,0.517748,1.055434
21,360.100995,0.421794,1.42,563,0.7788,0.5719,0.500993,1.040609
22,470.347806,0.589167,1.59,559,1.0904,0.6333,0.484782,1.020691
23,373.513695,0.440879,1.44,556,0.8045,0.6115,0.469097,1.010925
24,377.353366,0.447147,1.45,578,0.8383,0.5796,0.45392,1.016748
25,432.612214,0.52994,1.53,578,0.9857,0.6246,0.439235,1.011825
26,427.668811,0.522973,1.52,571,1.0004,0.6322,0.425026,1.002999
27,392.141974,0.468559,1.47,579,0.8656,0.5993,0.411278,0.988474
28,500.733014,0.63762,1.64,564,1.1336,0.6365,0.397976,0.994256
29,511.225777,0.656618,1.66,582,1.248,0.6134,0.385105,0.983306
30,554.931248,0.730062,1.73,599,1.322,0.6694,0.372651,0.986606
31,479.488225,0.604025,1.6,587,1.1249,0.6065,0.360601,0.9607
32,384.237238,0.457008,1.46,588,0.8487,0.5986,0.348942,0.942997
33,361.336576,0.423222,1.42,566,0.7708,0.6042,0.33766,0.951004
34,569.065113,0.755463,1.76,597,1.4026,0.6533,0.326745,0.93622
35,465.763393,0.580737,1.58,583,1.028,0.6192,0.316183,0.939372
36,518.875753,0.668035,1.67,605,1.1959,0.6446,0.305964,0.906247
37,522.98388,0.676449,1.68,591,1.2912,0.621,0.296077,0.896863
38,514.612522,0.661397,1.66,582,1.2095,0.6615,0.286509,0.905764
39,491.371259,0.623294,1.62,605,1.158,0.638,0.277252,0.885664
40,541.121062,0.705697,1.71,598,1.2548,0.6438,0.268295,0.879203
41,512.747999,0.658047,1.66,586,1.1916,0.6451,0.259629,0.878056
42,563.183302,0.744819,1.74,591,1.3667,0.665,0.251244,0.887159
43,527.974452,0.683853,1.68,598,1.2468,0.6455,0.24313,0.878822
44,597.282053,0.805745,1.81,597,1.4755,0.66,0.235279,0.863918
45,572.145977,0.760372,1.76,590,1.3789,0.6424,0.227684,0.856862
46,580.081469,0.774501,1.77,590,1.4049,0.6847,0.220334,0.839308
47,543.845825,0.711699,1.71,589,1.3375,0.6435,0.213222,0.849932
48,594.571455,0.800262,1.8,585,1.4318,0.6615,0.206342,0.828582
49,603.612351,0.81744,1.82,601,1.5069,0.6805,0.199684,0.818189
50,556.542892,0.733489,1.73,582,1.3636,0.6271,0.193242,0.812947
51,617.035875,0.841631,1.84,622,1.5157,0.6479,0.187009,0.807389
52,598.277125,0.806998,1.81,599,1.4436,0.6528,0.180978,0.806886
53,443.454995,0.544749,1.54,607,0.9368,0.6244,0.175143,0.816374
54,647.010785,0.897784,1.9,611,1.5977,0.6678,0.169496,0.8004
55,583.27357,0.779145,1.78,604,1.3543,0.6556,0.164033,0.805069
56,591.916578,0.794666,1.79,594,1.378,0.6633,0.158747,0.798955
57,594.01381,0.799609,1.8,595,1.4516,0.6185,0.153633,0.801343
58,585.114444,0.782993,1.78,588,1.3894,0.6582,0.148684,0.793597
59,637.170099,0.879505,1.88,588,1.5939,0.665,0.143896,0.776336
60,614.260724,0.836479,1.84,597,1.5057,0.6482,0.139263,0.788926
61,609.933479,0.828574,1.83,591,1.4967,0.6548,0.13478,0.779519
62,624.272259,0.854658,1.85,585,1.5116,0.6479,0.130442,0.777167
63,597.520763,0.806122,1.81,564,1.4725,0.6684,0.126245,0.770158
64,660.151736,0.923533,1.92,554,1.6762,0.6715,0.122185,0.769242
65,555.712214,0.731436,1.73,558,1.3252,0.647,0.118255,0.762778
66,599.038539,0.809028,1.81,551,1.4871,0.6479,0.114454,0.76193
67,655.451246,0.914296,1.91,600,1.6484,0.6667,0.110775,0.761211
68,568.619091,0.752505,1.75,575,1.281,0.673,0.107216,0.751132
69,594.284012,0.799166,1.8,582,1.3978,0.6615,0.103772,0.75691
70,586.44008,0.784894,1.78,563,1.367,0.6625,0.10044,0.762279
71,568.058496,0.753065,1.75,559,1.3615,0.6351,0.097216,0.76452
72,608.310366,0.82443,1.82,570,1.422,0.6544,0.094096,0.768835
73,619.697745,0.84615,1.85,560,1.4976,0.6786,0.091078,0.754298
74,664.094452,0.930023,1.93,563,1.6101,0.6785,0.088157,0.752527
75,660.396622,0.923528,1.92,566,1.6428,0.6873,0.085331,0.762061
76,694.670806,0.990825,1.99,564,1.7449,0.6702,0.082597,0.749734
77,657.086509,0.916497,1.92,573,1.5899,0.6928,0.079952,0.758008
78,614.510508,0.835725,1.84,565,1.4338,0.6867,0.077392,0.751298
79,623.782214,0.854078,1.85,566,1.5315,0.6678,0.074915,0.744686
80,638.315104,0.881233,1.88,582,1.5682,0.6735,0.072518,0.754469
81,665.567726,0.933599,1.93,555,1.6625,0.6811,0.0702,0.757313
