Metric,DRL_Agent,Mean_Reversion
Total Return,0.10321277741863288,0.0400836203037509
Sharpe Ratio,0.9760590343632221,1.3637859404250365
Sortino Ratio,1.4973790496784194,0.9586079415983373
Max Drawdown,0.015997390274607576,0.0047797672782533464
N. Trades,225.0,92.0
Win Rate,0.6355555555555555,0.6521739130434783
Final Balance,1.1032127774186329,1.040083620303751
