Date,step,DRL_Agent,Mean_Reversion
2013-01-02,0,1.0,1.0
2013-01-03,1,1.0006066420655586,1.0
2013-01-04,2,1.0009396721711892,1.0
2013-01-07,3,1.0002388764568793,1.0
2013-01-08,4,0.999693337309469,1.0
2013-01-09,5,0.999683337309469,1.0
2013-01-10,6,0.9994022854952854,1.0
2013-01-11,7,0.9995783824161479,1.0
2013-01-14,8,1.0008301634995873,1.0
2013-01-15,9,1.000423261833546,1.0
2013-01-16,10,1.000413261833546,1.0
2013-01-17,11,1.0008105676908945,1.0
2013-01-18,12,1.00035750593553,1.0
2013-01-21,13,1.0001347558035232,1.0
2013-01-22,14,1.0006126337573922,1.0
2013-01-23,15,0.9996918351241101,1.0
2013-01-24,16,0.9995045684966245,1.0
2013-01-25,17,0.9994945684966244,1.0
2013-01-28,18,0.9995541187283957,1.0
2013-01-29,19,0.9984586509199906,1.0
2013-01-30,20,0.9987971839266142,1.0
2013-01-31,21,0.9980742307070145,1.0
2013-02-01,22,0.998586593913546,1.0
2013-02-04,23,0.997757441067448,1.0
2013-02-05,24,0.9979248406850946,1.0
2013-02-06,25,0.9989531326938677,1.0
2013-02-07,26,0.9989431326938677,1.0
2013-02-08,27,0.9996882986218263,1.0
2013-02-11,28,0.9978964251865725,1.0
2013-02-12,29,0.9991749312346467,1.0
2013-02-13,30,0.9991649312346468,1.0
2013-02-14,31,0.9977752824083818,1.0
2013-02-15,32,0.9991137151504069,1.0
2013-02-18,33,0.9998736350556039,1.0
2013-02-19,34,0.9998636350556038,1.0
2013-02-20,35,1.0011788322704473,0.99999
2013-02-21,36,1.001450987701387,0.9997744458920907
2013-02-22,37,1.0003462498341327,0.9997744458920907
2013-02-25,38,1.0014629563754522,0.9997744458920907
2013-02-26,39,1.0014529563754522,0.9997644458920908
2013-02-27,40,1.0027868226121845,1.0000897619121984
2013-02-28,41,1.0020577398598762,1.0000897619121984
2013-03-01,42,1.0023997563517877,1.0000897619121984
2013-03-04,43,1.0023897563517878,1.0000897619121984
2013-03-05,44,1.0020575576733113,1.0000897619121984
2013-03-06,45,1.001909363206759,1.0000897619121984
2013-03-07,46,1.0001991509133774,1.0000897619121984
2013-03-08,47,1.000112318239623,1.0000897619121984
2013-03-11,48,1.0015201955252278,1.0000897619121984
2013-03-12,49,1.0015101955252277,1.0000897619121984
2013-03-13,50,1.0012955316916219,1.0000897619121984
2013-03-14,51,1.0013067604703092,1.0000897619121984
2013-03-15,52,0.9997794359715048,1.0000897619121984
2013-03-18,53,0.9997694359715048,1.0000897619121984
2013-03-19,54,1.0018582482485394,1.0000797619121984
2013-03-20,55,0.999902297777369,1.001394959127042
2013-03-21,56,0.999876407796814,1.001394959127042
2013-03-22,57,1.0018311824864223,1.001394959127042
2013-03-25,58,1.0018211824864223,1.001394959127042
2013-03-26,59,1.0018922080900934,1.001394959127042
2013-03-27,60,0.9997569160519963,1.001394959127042
2013-03-28,61,1.000500845869014,1.001394959127042
2013-04-01,62,1.001281263775391,1.001394959127042
2013-04-02,63,1.0007389004807699,1.001394959127042
2013-04-03,64,1.0013496739071885,1.0013849591270418
2013-04-04,65,1.0013396739071885,1.001219366000896
2013-04-05,66,0.9994875941557634,1.0012093660008958
2013-04-08,67,1.0005348721983869,1.0011188905503376
2013-04-09,68,0.9990983075729084,1.0011188905503376
2013-04-10,69,1.0006079546767424,1.0011188905503376
2013-04-11,70,0.9992537934799377,1.0011188905503376
2013-04-12,71,0.9995825849569642,1.0011188905503376
2013-04-15,72,1.0010996164959673,1.0011088905503376
2013-04-16,73,1.0010896164959673,1.0026473521335049
2013-04-17,74,1.001050513842356,1.0026373521335048
2013-04-18,75,1.0017552014288973,1.0046637632546664
2013-04-19,76,1.001213951417512,1.0046637632546664
2013-04-22,77,1.001203951417512,1.0046637632546664
2013-04-23,78,1.0007646848548843,1.0046637632546664
2013-04-24,79,1.0027330874752154,1.0046637632546664
2013-04-25,80,1.0013299917520255,1.0046637632546664
2013-04-26,81,1.0020212250683906,1.0046637632546664
2013-04-29,82,1.0020112250683906,1.0046637632546664
2013-04-30,83,1.0007451325243928,1.0046637632546664
2013-05-01,84,1.0002382402449843,1.0046637632546664
2013-05-02,85,1.001580408918849,1.0046637632546664
2013-05-03,86,0.9998257683395959,1.0046637632546664
2013-05-06,87,1.0011876937326316,1.0046637632546664
2013-05-07,88,1.0011776937326318,1.0046637632546664
2013-05-08,89,1.0008615672325942,1.0046637632546664
2013-05-09,90,1.0019574329077894,1.0046637632546664
2013-05-10,91,1.0002660763835505,1.0046637632546664
2013-05-13,92,1.002098496587582,1.0046637632546664
2013-05-14,93,1.002088496587582,1.0046637632546664
2013-05-15,94,1.0042299731066928,1.0046637632546664
2013-05-16,95,1.0038238899261278,1.0046637632546664
2013-05-17,96,1.003314340466258,1.0046637632546664
2013-05-20,97,1.003304340466258,1.0046637632546664
2013-05-21,98,1.002168743681776,1.0046637632546664
2013-05-22,99,1.0025332205477422,1.0046537632546664
2013-05-23,100,1.0019392358747268,1.006076746020406
2013-05-24,101,1.0017092150516202,1.006076746020406
2013-05-27,102,1.0007693669499487,1.006076746020406
2013-05-28,103,1.0028594158871282,1.006076746020406
2013-05-29,104,1.0028494158871282,1.006076746020406
2013-05-30,105,1.0040433938852116,1.006076746020406
2013-05-31,106,1.004069514669331,1.006066746020406
2013-06-03,107,1.004244494230481,1.0074891024798727
2013-06-04,108,1.0042344942304808,1.0074891024798727
2013-06-05,109,1.0052077112636182,1.0074891024798727
2013-06-06,110,1.0047856423186134,1.0074891024798727
2013-06-07,111,1.0053604437070087,1.0074891024798727
2013-06-10,112,1.0043915520743867,1.0074891024798727
2013-06-11,113,1.005143980608238,1.0074891024798727
2013-06-12,114,1.0043891984383797,1.0074891024798727
2013-06-13,115,1.005321235632567,1.0074891024798727
