,Global Mean,Losing Trades,Winning Trades
shock,-0.0748794276016295,0.15256486547763506,-0.03924094704773384
deviation_from_mean,-0.993353830282505,-1.6195772052924948,-0.9623875659441291
zscore_crack,-0.290414203200804,-0.3549145085657178,-0.2569599038400732
shock_x_volume,0.07537652780133455,0.08725784740832145,-0.2829680493689713
shock_lag1,-0.07652706463936229,-0.12104353221656759,-0.13404722777159936
half_life_proxy,-0.1936340132454942,-0.1672765703357698,-0.2031720295876465
