,feature,importance
3,shock_x_volume,0.17514372222979174
2,zscore_crack,0.17257346847597818
1,deviation_from_mean,0.16972475920785465
5,half_life_proxy,0.1669062273556965
4,shock_lag1,0.16105854567509953
0,shock,0.1545932770555795
