episode,total_reward,total_return,final_portfolio_value,n_trades,sharpe_ratio,win_rate,epsilon,avg_loss
1,83.014244,0.068655,1.07,801,0.0992,0.4894,0.948337,1.587019
2,-65.286919,-0.079222,0.92,813,-0.0766,0.5129,0.899346,1.205194
3,-62.741581,-0.075845,0.92,835,-0.0761,0.4934,0.852888,1.16243
4,237.704761,0.252059,1.25,860,0.3221,0.5151,0.808833,1.119271
5,184.075117,0.18637,1.19,853,0.247,0.5416,0.767056,1.078055
6,267.423756,0.290415,1.29,858,0.369,0.5746,0.727439,1.053937
7,225.191731,0.237396,1.24,885,0.3145,0.5525,0.689872,1.027121
8,271.806064,0.298465,1.3,878,0.4064,0.5547,0.654247,0.992959
9,193.43304,0.196804,1.2,883,0.2539,0.5504,0.620464,0.998856
10,374.218678,0.438821,1.44,887,0.5658,0.5738,0.588429,0.960825
11,493.042791,0.623263,1.62,895,0.8197,0.5933,0.55805,0.949697
12,399.144231,0.475829,1.48,911,0.6177,0.5851,0.529242,0.942616
13,453.218021,0.556614,1.56,901,0.6754,0.6038,0.501924,0.923862
14,546.520703,0.711221,1.71,905,0.8735,0.6011,0.476019,0.918835
15,420.38969,0.509167,1.51,896,0.6896,0.5893,0.451453,0.890392
16,477.815844,0.596203,1.6,911,0.73,0.5993,0.428158,0.868888
17,595.40214,0.797697,1.8,936,0.9741,0.6186,0.406068,0.856647
18,580.33665,0.769781,1.77,927,0.9193,0.616,0.38512,0.870712
19,637.813246,0.876272,1.88,928,1.0659,0.6261,0.365255,0.856619
20,658.517119,0.916309,1.92,922,1.1282,0.628,0.346418,0.815671
21,688.942995,0.976691,1.98,948,1.2272,0.6603,0.328555,0.802951
22,693.043036,0.983893,1.98,929,1.1975,0.6598,0.311615,0.779147
23,526.975203,0.678362,1.68,934,0.8492,0.6071,0.295552,0.754833
24,589.847854,0.787334,1.79,923,0.9527,0.6392,0.280319,0.747077
25,682.59962,0.962321,1.96,952,1.145,0.6586,0.265874,0.738477
26,596.276,0.80056,1.8,940,1.0174,0.6351,0.252176,0.727565
27,735.26754,1.068857,2.07,923,1.2482,0.6533,0.239187,0.711366
28,720.410375,1.039942,2.04,919,1.2856,0.6551,0.226869,0.697531
29,715.672447,1.028679,2.03,921,1.214,0.6623,0.215188,0.679574
30,648.446405,0.896374,1.9,922,1.0853,0.6486,0.204111,0.679059
31,748.261258,1.097527,2.1,907,1.3349,0.6516,0.193608,0.680459
32,772.904792,1.150744,2.15,916,1.4185,0.6758,0.183647,0.660227
33,723.038663,1.044614,2.04,931,1.2619,0.667,0.174201,0.651602
34,756.124322,1.111988,2.11,929,1.2669,0.6523,0.165244,0.652765
35,601.444259,0.808191,1.81,945,0.9716,0.6413,0.15675,0.642448
36,718.219545,1.036289,2.04,921,1.3177,0.6612,0.148696,0.636356
37,671.143105,0.939623,1.94,950,1.1138,0.6611,0.141058,0.639424
38,769.866878,1.142557,2.14,969,1.3416,0.6873,0.133815,0.634296
39,757.566051,1.116979,2.12,940,1.345,0.6606,0.126946,0.629096
40,790.50199,1.188553,2.19,930,1.4341,0.6957,0.120433,0.628397
41,800.373484,1.20914,2.21,953,1.4032,0.6758,0.114256,0.631945
42,686.270694,0.970599,1.97,927,1.1896,0.6505,0.108399,0.62592
43,750.643047,1.101872,2.1,920,1.3118,0.6728,0.102845,0.622308
44,784.518088,1.175195,2.18,902,1.4096,0.6608,0.097578,0.620957
45,708.037199,1.014151,2.01,932,1.235,0.6642,0.092584,0.616481
46,757.450387,1.117708,2.12,923,1.3877,0.6663,0.087848,0.604707
47,720.617293,1.04001,2.04,915,1.2717,0.6787,0.083356,0.607077
48,743.921944,1.088298,2.09,898,1.3211,0.7016,0.079097,0.603792
49,699.590622,0.997909,2.0,883,1.2485,0.6693,0.075058,0.601874
50,771.462745,1.148141,2.15,885,1.4399,0.6915,0.071229,0.607892
51,726.872856,1.053592,2.05,896,1.3159,0.6719,0.067597,0.596504
52,759.061653,1.120099,2.12,906,1.3456,0.6954,0.064153,0.600245
53,669.072302,0.937043,1.94,875,1.1615,0.6777,0.060887,0.590725
54,662.333526,0.923679,1.92,870,1.1367,0.6678,0.05779,0.587436
55,772.010581,1.14825,2.15,871,1.3911,0.6935,0.054853,0.586423
56,728.105208,1.05438,2.05,848,1.2469,0.6899,0.052068,0.593809
57,783.013707,1.170711,2.17,860,1.3563,0.7174,0.049427,0.587328
58,728.944003,1.056639,2.06,860,1.2692,0.7,0.046922,0.588651
59,719.110347,1.036211,2.04,876,1.2404,0.6952,0.044548,0.596225
60,768.595641,1.141,2.14,865,1.3882,0.7006,0.042296,0.593531
61,742.7987,1.085129,2.09,870,1.2856,0.6943,0.04016,0.596868
62,807.418304,1.225998,2.23,886,1.4699,0.7088,0.038135,0.581591
63,761.735982,1.126312,2.13,865,1.3733,0.7075,0.036214,0.591239
64,762.591116,1.128057,2.13,865,1.3715,0.7052,0.034393,0.585744
65,754.252856,1.109617,2.11,868,1.3241,0.7062,0.032666,0.578937
66,737.733587,1.075602,2.08,864,1.3176,0.6898,0.031029,0.585675
67,760.518022,1.123617,2.12,883,1.3664,0.6908,0.029476,0.584878
68,769.778541,1.143168,2.14,885,1.3742,0.6893,0.028003,0.582025
69,748.189655,1.09731,2.1,857,1.3318,0.6896,0.026607,0.582563
70,720.291476,1.039558,2.04,853,1.2797,0.6917,0.025282,0.587658
71,768.307657,1.140969,2.14,866,1.4144,0.7044,0.024027,0.588021
72,826.078326,1.268665,2.27,884,1.5396,0.7014,0.022836,0.586039
73,779.007869,1.163872,2.16,871,1.4283,0.7049,0.021707,0.574807
74,796.561038,1.201704,2.2,877,1.4383,0.7024,0.020636,0.57562
75,799.88857,1.209808,2.21,882,1.4801,0.6961,0.01962,0.566862
76,729.00517,1.056947,2.06,867,1.2765,0.6932,0.018657,0.572599
77,817.035302,1.248433,2.25,886,1.5321,0.6975,0.017744,0.564368
78,780.082338,1.165426,2.17,888,1.3953,0.6982,0.016878,0.567549
79,797.969107,1.204876,2.2,874,1.4439,0.7162,0.016057,0.565279
80,838.417461,1.296334,2.3,897,1.5386,0.6979,0.015278,0.54942
81,866.10964,1.361531,2.36,911,1.6255,0.7036,0.01454,0.557726
82,815.812281,1.244694,2.24,899,1.4822,0.7052,0.01384,0.559385
83,849.054723,1.320942,2.32,876,1.5606,0.7089,0.013176,0.554524
84,835.330878,1.289362,2.29,885,1.5379,0.7073,0.012546,0.550637
85,854.739569,1.335169,2.34,906,1.6213,0.7064,0.011949,0.550757
86,804.148192,1.21926,2.22,894,1.489,0.7047,0.011383,0.54642
87,822.409237,1.259984,2.26,886,1.5146,0.6998,0.010846,0.548408
88,869.325001,1.369383,2.37,899,1.6443,0.7063,0.010337,0.546404
89,820.206007,1.255549,2.26,901,1.5371,0.7059,0.009854,0.538614
90,857.820766,1.342442,2.34,892,1.6307,0.7141,0.009396,0.537605
91,891.034868,1.421303,2.42,899,1.6815,0.7253,0.008962,0.533979
92,836.872137,1.293293,2.29,892,1.5603,0.704,0.00855,0.531665
93,842.940884,1.307432,2.31,900,1.581,0.71,0.00816,0.528988
94,873.601943,1.379965,2.38,905,1.6754,0.7193,0.007789,0.529491
95,861.191674,1.350565,2.35,912,1.6488,0.7061,0.007438,0.523446
96,867.975261,1.366234,2.37,918,1.6442,0.7092,0.007105,0.525369
97,825.424196,1.266845,2.27,919,1.522,0.728,0.00679,0.523664
98,878.32566,1.390977,2.39,931,1.6706,0.7121,0.00649,0.523428
99,824.930445,1.266324,2.27,929,1.5508,0.7169,0.006206,0.517596
100,868.950124,1.368419,2.37,925,1.6396,0.707,0.005937,0.515611
101,859.41886,1.345955,2.35,928,1.6217,0.7058,0.005682,0.514582
102,867.574955,1.365418,2.37,931,1.6503,0.7229,0.00544,0.515656
103,878.483706,1.391461,2.39,942,1.6766,0.7155,0.00521,0.515444
104,818.083494,1.250341,2.25,937,1.512,0.7118,0.004992,0.514172
105,849.17453,1.321362,2.32,942,1.5679,0.7091,0.004786,0.512486
106,856.439573,1.338345,2.34,941,1.5841,0.7067,0.00459,0.513661
107,877.642427,1.389211,2.39,943,1.6622,0.7179,0.004404,0.510726
108,884.765375,1.405572,2.41,947,1.6393,0.7043,0.004228,0.511096
109,847.585425,1.316602,2.32,931,1.5153,0.7078,0.004061,0.513733
110,876.607456,1.38605,2.39,945,1.6252,0.7122,0.003903,0.513689
111,855.66682,1.336609,2.34,939,1.5863,0.7199,0.003753,0.516579
112,879.412299,1.393067,2.39,941,1.6463,0.712,0.003611,0.51288
113,867.916513,1.365459,2.37,934,1.6117,0.7045,0.003476,0.507772
114,863.426675,1.35575,2.36,957,1.6492,0.7137,0.003348,0.512623
115,921.683739,1.497127,2.5,945,1.7651,0.7153,0.003226,0.514819
116,864.754365,1.358842,2.36,957,1.6496,0.7147,0.003111,0.508044
117,828.199739,1.273158,2.27,934,1.5278,0.7002,0.003002,0.523058
118,885.386947,1.407239,2.41,966,1.649,0.7122,0.002898,0.51217
119,877.32594,1.388025,2.39,958,1.6395,0.714,0.0028,0.512576
120,871.764812,1.374267,2.37,959,1.6036,0.7164,0.002707,0.505558
121,801.175032,1.213071,2.21,964,1.5033,0.7064,0.002619,0.506508
122,861.693337,1.351801,2.35,967,1.653,0.7166,0.002535,0.509083
123,888.739148,1.416147,2.42,970,1.6982,0.7124,0.002456,0.504929
124,850.769897,1.324807,2.32,958,1.5583,0.7098,0.00238,0.505917
125,811.562819,1.235895,2.24,968,1.5087,0.7056,0.002309,0.50466
126,848.845091,1.320312,2.32,969,1.5537,0.6987,0.002241,0.506726
127,902.067954,1.447997,2.45,970,1.6942,0.7247,0.002177,0.505223
128,820.732448,1.256941,2.26,985,1.5487,0.7056,0.002116,0.498771
129,881.638149,1.398421,2.4,972,1.6518,0.7037,0.002059,0.500066
130,821.208694,1.25772,2.26,981,1.5346,0.7054,0.002004,0.504538
131,888.251218,1.414122,2.41,979,1.6534,0.714,0.001952,0.500232
132,857.981593,1.341742,2.34,966,1.5772,0.7008,0.001903,0.505151
133,894.515069,1.429737,2.43,992,1.6879,0.7127,0.001856,0.502333
134,871.617225,1.374374,2.37,989,1.6258,0.7179,0.001812,0.500276
135,890.110607,1.419112,2.42,989,1.6821,0.7088,0.00177,0.505874
136,860.579376,1.348021,2.35,969,1.5909,0.7079,0.00173,0.505432
137,859.612688,1.345838,2.35,984,1.5932,0.7063,0.001692,0.499298
138,839.573065,1.298602,2.3,991,1.5228,0.7003,0.001656,0.505001
139,850.816631,1.325546,2.33,994,1.5891,0.6932,0.001622,0.504804
140,852.540344,1.329511,2.33,996,1.5902,0.6898,0.00159,0.50353
141,868.729133,1.367054,2.37,1000,1.5973,0.712,0.00156,0.503907
142,884.153808,1.404937,2.4,1005,1.681,0.7085,0.001531,0.508275
143,858.507014,1.343789,2.34,999,1.6186,0.6967,0.001503,0.501526
144,922.811789,1.499981,2.5,1007,1.7692,0.721,0.001477,0.509854
145,856.883023,1.339885,2.34,1010,1.6103,0.703,0.001453,0.506609
146,874.47516,1.38151,2.38,1001,1.6486,0.6993,0.001429,0.50427
147,845.353568,1.312546,2.31,994,1.5626,0.7002,0.001407,0.4956
148,864.148845,1.356405,2.36,1009,1.5968,0.6957,0.001386,0.498099
149,869.545057,1.370311,2.37,1011,1.6665,0.7013,0.001366,0.499348
150,873.095253,1.377725,2.38,1002,1.6206,0.7126,0.001347,0.497981
