Date,step,DRL_Agent,Mean_Reversion
2020-10-22,0,1.0,1.0
2020-10-23,1,0.996355581626641,1.0
2020-10-26,2,0.9969003511343543,1.0
2020-10-27,3,0.9934091750262827,1.0
2020-10-28,4,0.9933252916680285,1.0
2020-10-29,5,0.9950986918547411,1.0
2020-10-30,6,0.9950786918547411,1.0
2020-11-02,7,0.9929301711960741,1.0
2020-11-03,8,0.9923754529367496,1.0
2020-11-04,9,0.9926115971878893,1.0
2020-11-05,10,0.9926680088658044,1.0
2020-11-06,11,0.9953347237868175,1.0
2020-11-09,12,0.9953147237868176,1.0
2020-11-10,13,0.9966320306044176,1.0
2020-11-11,14,0.9980788763660972,1.0
2020-11-12,15,0.9982152517149612,1.0
2020-11-13,16,0.9981952517149613,1.0
2020-11-16,17,0.9981952517149613,1.0
2020-11-17,18,0.9972265657395605,1.0
2020-11-18,19,0.9983737334209875,1.0
2020-11-19,20,0.9966331858305826,1.0
2020-11-20,21,0.9977099021941842,1.0
2020-11-23,22,1.0000518520137553,1.0
2020-11-24,23,1.0000318520137554,1.0
2020-11-25,24,0.9996550592542316,1.0
2020-11-26,25,1.0000689963681866,1.0
2020-11-27,26,1.0008905454739982,1.0
2020-11-30,27,1.0008705454739983,1.0
2020-12-01,28,1.001211341085544,1.0
2020-12-02,29,1.0007663905360813,1.0
2020-12-03,30,1.0017325425458614,1.0
2020-12-04,31,0.9974819648960751,1.0
2020-12-07,32,0.998107759972042,1.0
2020-12-08,33,1.0008579331742735,1.0
2020-12-09,34,0.9955628841030155,1.0
2020-12-10,35,0.9982973983884766,1.0
2020-12-11,36,0.996729207117657,1.0
2020-12-14,37,0.9991129848019724,1.0
2020-12-15,38,0.9963400024067768,1.0
2020-12-16,39,0.9960619540334749,1.0
2020-12-17,40,0.9995958521268313,1.0
2020-12-18,41,0.9995758521268313,1.0
2020-12-21,42,0.999859734450249,0.99998
2020-12-22,43,0.999230493857426,1.0017147833768423
2020-12-23,44,1.0004200747033205,1.0017147833768423
2020-12-24,45,1.0004000747033206,1.0017147833768423
2020-12-28,46,1.0010295426036444,1.0017147833768423
2020-12-29,47,1.003110414421179,1.0017147833768423
2020-12-30,48,1.0006865884568183,1.0017147833768423
2020-12-31,49,1.0019676953775567,1.0017147833768423
2021-01-04,50,1.0019476953775568,1.0017147833768423
2021-01-05,51,1.0061427127258877,1.0016947833768424
2021-01-06,52,1.0068805891700212,1.0023111627402976
2021-01-07,53,1.0044129348554396,1.0023111627402976
2021-01-08,54,1.0043929348554395,1.0022911627402977
2021-01-11,55,1.004947390888824,1.0047260819572255
2021-01-12,56,1.0044131618983767,1.0047260819572255
2021-01-13,57,1.0037659991710273,1.0047260819572255
2021-01-14,58,1.0045398183509888,1.0047260819572255
2021-01-15,59,1.0036466764713337,1.0047260819572255
2021-01-18,60,1.0026751178648186,1.0047260819572255
2021-01-19,61,1.0025884432920154,1.0047260819572255
2021-01-20,62,1.0027996169505442,1.0047260819572255
2021-01-21,63,1.0007380218845452,1.0047260819572255
2021-01-22,64,1.0021334195039422,1.0047260819572255
2021-01-25,65,1.0032223448230284,1.0047260819572255
2021-01-26,66,1.0034069030580428,1.0047260819572255
2021-01-27,67,1.0025152673394613,1.0047260819572255
2021-01-28,68,1.002020407195013,1.0047260819572255
2021-01-29,69,1.0010075645193977,1.0047260819572255
2021-02-01,70,1.0033544738210214,1.0047260819572255
2021-02-02,71,1.0033344738210215,1.0047260819572255
2021-02-03,72,1.0033288169502041,1.0047260819572255
2021-02-04,73,1.0072809446811073,1.0047260819572255
2021-02-05,74,1.007133911256142,1.0047260819572255
2021-02-08,75,1.0071139112561418,1.0047260819572255
2021-02-09,76,1.004547297133961,1.0047260819572255
2021-02-10,77,1.0046979793438324,1.0047260819572255
2021-02-11,78,1.0036963300712083,1.0047260819572255
2021-02-12,79,1.0054013069461876,1.0047260819572255
2021-02-15,80,1.0055442343261909,1.0047260819572255
2021-02-16,81,1.0072037009725803,1.0047260819572255
2021-02-17,82,1.0050386976860195,1.0047260819572255
2021-02-18,83,1.0082841568067393,1.0047260819572255
2021-02-19,84,1.0082641568067392,1.0047260819572255
2021-02-22,85,1.0065765887066387,1.0047260819572255
2021-02-23,86,1.005750560745544,1.0047260819572255
2021-02-24,87,1.0066045368915613,1.0047260819572255
2021-02-25,88,1.0065845368915614,1.0047260819572255
2021-02-26,89,1.0051536298086474,1.0047260819572255
2021-03-01,90,1.0067578838437055,1.0047060819572255
2021-03-02,91,1.0051586370370709,1.0037612833658447
2021-03-03,92,1.0053733898749855,1.0037612833658447
2021-03-04,93,1.0053533898749856,1.0037412833658448
2021-03-05,94,1.005164950828641,1.0040046457465506
2021-03-08,95,1.0054024722036252,1.0040046457465506
2021-03-09,96,1.0037614383054727,1.0040046457465506
2021-03-10,97,1.0032781015056176,1.0040046457465506
2021-03-11,98,1.0055664297080158,1.0040046457465506
2021-03-12,99,1.0032692154886718,1.0040046457465506
2021-03-15,100,1.0047419641999276,1.0040046457465506
2021-03-16,101,1.0048762770577233,1.0040046457465506
2021-03-17,102,1.0048562770577232,1.0040046457465506
2021-03-18,103,1.0068279640902467,1.0039846457465507
2021-03-19,104,1.0075175192633423,1.0056605802467857
2021-03-22,105,1.0060091952554577,1.0056605802467857
2021-03-23,106,1.0084633699843708,1.0056605802467857
2021-03-24,107,1.0084433699843707,1.0056605802467857
2021-03-25,108,1.0071073240018884,1.0056605802467857
2021-03-26,109,1.0097119178705576,1.0056605802467857
2021-03-29,110,1.0089663534442297,1.0056605802467857
2021-03-30,111,1.0057925041250093,1.0056605802467857
2021-03-31,112,1.0048120346980136,1.0056605802467857
2021-04-01,113,1.006972325200281,1.0056605802467857
2021-04-05,114,1.006952325200281,1.0056605802467857
2021-04-06,115,1.0082097660698077,1.0056605802467857
2021-04-07,116,1.0064838670660425,1.0056605802467857
2021-04-08,117,1.0092442509736215,1.0056605802467857
2021-04-09,118,1.0067524771199743,1.0056605802467857
2021-04-12,119,1.0086655166249308,1.0056605802467857
2021-04-13,120,1.0060539298062634,1.0056605802467857
2021-04-14,121,1.0068860069791818,1.0056605802467857
2021-04-15,122,1.0082184387976076,1.0056605802467857
2021-04-16,123,1.0081984387976075,1.0056605802467857
2021-04-19,124,1.005802124418675,1.0056605802467857
2021-04-20,125,1.0077747435075388,1.0056605802467857
2021-04-21,126,1.0080561095907963,1.0056605802467857
2021-04-22,127,1.0080361095907964,1.0056605802467857
2021-04-23,128,1.0076812684395446,1.0056605802467857
2021-04-26,129,1.0079500346760897,1.0056605802467857
2021-04-27,130,1.008596568046313,1.0056605802467857
