Window,Train_End,Test_Period,Total_Return,Sharpe,Sortino,Max_Drawdown,Trades,Win_Rate
WF1,2012-12-31,2013-01-01 -> 2015-12-31,0.0301549513524348,0.4487060131275369,0.6104777401869876,0.0145386952345703,131.0,0.5954198473282443
WF2,2015-12-31,2016-01-01 -> 2018-12-31,0.1539791187411132,1.7293044028859614,2.5383362079334395,0.0147882307548033,138.0,0.7463768115942029
WF3,2018-12-31,2019-01-01 -> 2021-12-31,0.0414468585513538,0.3720263670135224,0.4039346887547539,0.0783186446127865,141.0,0.574468085106383
