,feature,importance
5,half_life_proxy,0.19924172609582777
1,deviation_from_mean,0.17510355748310516
3,shock_x_volume,0.16265598789819988
0,shock,0.15731833006836698
4,shock_lag1,0.1557417629289214
2,zscore_crack,0.14993863552557896
