Metric,DRL_Agent,Mean_Reversion
Total Return,0.15397911874111325,0.045682142565572015
Sharpe Ratio,1.7293044028859614,1.5001306866649022
Sortino Ratio,2.5383362079334395,1.4365623788055712
Max Drawdown,0.014788230754803374,0.008241124505210275
N. Trades,138.0,63.0
Win Rate,0.7463768115942029,0.6031746031746031
Final Balance,1.1539791187411133,1.045682142565572
